response_id,survey_id,response_sensitivity,m1470_meta_enum_sex,m2690_loc_returnees_from_list,m2684_loc_arrivals_from_list,m2967_loc_idp_reason_chose_loc,s1534_loc_loc_access,m1461_loc_return_obs_unit,m2688_loc_arrivals_site_type,m1690_loc_depart_hh,m1535_loc_arrival_time,m0342_loc_site_type_multiple,m2693_loc_returnees_site_type,m2691_loc_area_disp_returnees_adm0_other,m2693_loc_returnees_site_type_other,m1725_meta_interview_type,m2694_loc_top_3_priority_need_returnee_other,m1584_loc_main_depart_reason_other,m1584_loc_main_depart_reason,m2967_loc_idp_reason_chose_loc_other,m2692_loc_reason_return_other,s2878_loc_top_3_priority_need_idp_other,m2688_loc_arrivals_site_type_other,m0329_loc_reason_disp_idp_other,m0329_loc_reason_disp_idp,m2686_loc_arrivals_origin_adm1,m1577_loc_main_dest_adm1,m2691_loc_area_disp_returnees_adm0,m2990_loc_depart_internal,m2687_loc_arrivals_origin_adm3,m2972_loc_num_women_return,m0847_loc_num_return_idp_hh,m2971_loc_num_men_return,m2973_loc_num_children_return,m0851_loc_num_return_idp_ind,m2694_loc_top_3_priority_need_returnee,m2695_loc_returnees_settle_adm4,m2692_loc_reason_return,s1322_loc_return_main_arrival,m1541_loc_num_depart_hh_period,m2685_loc_arrivals_origin_adm2,m0349_loc_depart_period,m1540_loc_num_depart_ind_period,m2968_loc_num_men_idp,m2969_loc_num_women_idp,m1537_loc_num_arrivals_hh,m2970_loc_num_children_idp,m0310_loc_num_idp_ind,s2878_loc_top_3_priority_need_idp,m1536_loc_num_arrival_ind_period,m1727_loc_main_group_arrival_date,m2689_loc_arrivals_settle_adm4,m0445_loc_site_id_ssid,_m1650_loc_gps_coords_altitude,m1650_loc_gps_coords,_m2696_meta_start_gps_altitude,_m1650_loc_gps_coords_precision,m0448_loc_site_name,m0305_meta_adm3_pcode,_m2696_meta_start_gps_precision,m1855_meta_assessment_date,_m2696_meta_start_gps_latitude,_m2696_meta_start_gps_longitude,m2696_meta_start_gps,m1658_meta_assessment_start,m0304_meta_adm2_pcode,_m1650_loc_gps_coords_longitude,_m1650_loc_gps_coords_latitude,m1844_meta_assessment_end,m0302_meta_adm0_pcode,m0489_meta_survey_round,m0303_meta_adm1_pcode,m2991_loc_depart_known,s2878_loc_top_3_priority_need_idp/transport,s2878_loc_top_3_priority_need_idp/communication,s2878_loc_top_3_priority_need_idp/dnk,s2878_loc_top_3_priority_need_idp/reunification,s2878_loc_top_3_priority_need_idp/electricity,s2878_loc_top_3_priority_need_idp/language,s2878_loc_top_3_priority_need_idp/medicines,m2694_loc_top_3_priority_need_returnee/transport,m2694_loc_top_3_priority_need_returnee/education,m2694_loc_top_3_priority_need_returnee/reunification,m2694_loc_top_3_priority_need_returnee/hygiene,m2694_loc_top_3_priority_need_returnee/security,s2878_loc_top_3_priority_need_idp/hygiene,s2878_loc_top_3_priority_need_idp/pnta,s2878_loc_top_3_priority_need_idp/security,s2878_loc_top_3_priority_need_idp/child_spaces,s2878_loc_top_3_priority_need_idp/return_support,s2878_loc_top_3_priority_need_idp/wash,m2694_loc_top_3_priority_need_returnee/communication,s2878_loc_top_3_priority_need_idp/education,m2694_loc_top_3_priority_need_returnee/nfi,m2694_loc_top_3_priority_need_returnee/agricultural_inputs,m2694_loc_top_3_priority_need_returnee/other,s2878_loc_top_3_priority_need_idp/nfi,m2694_loc_top_3_priority_need_returnee/accommodation,m2694_loc_top_3_priority_need_returnee/employment,m2694_loc_top_3_priority_need_returnee/drinking_water,m2692_loc_reason_return/other,s2878_loc_top_3_priority_need_idp/other,m2694_loc_top_3_priority_need_returnee/clothes,m2694_loc_top_3_priority_need_returnee/sanitation,s2878_loc_top_3_priority_need_idp/accommodation,s2878_loc_top_3_priority_need_idp/employment,s2878_loc_top_3_priority_need_idp/business,m2694_loc_top_3_priority_need_returnee/business,m2692_loc_reason_return/returned_assistance,s2878_loc_top_3_priority_need_idp/clothes,s2878_loc_top_3_priority_need_idp/drinking_water,m2694_loc_top_3_priority_need_returnee/health,s2878_loc_top_3_priority_need_idp/sanitation,m2694_loc_top_3_priority_need_returnee/cash,s2878_loc_top_3_priority_need_idp/cash,s2878_loc_top_3_priority_need_idp/health,m2692_loc_reason_return/no_assistance_found,m2694_loc_top_3_priority_need_returnee/shelter,m2692_loc_reason_return/rejoin_family,s2878_loc_top_3_priority_need_idp/shelter,m2694_loc_top_3_priority_need_returnee/food,s2878_loc_top_3_priority_need_idp/food,s2878_loc_top_3_priority_need_idp/recognition_qualifications,s2878_loc_top_3_priority_need_idp/legal_consular,s2878_loc_top_3_priority_need_idp/kindergarten,s2878_loc_top_3_priority_need_idp/information,s2878_loc_top_3_priority_need_idp/none,s2878_loc_top_3_priority_need_idp/pss,s2878_loc_top_3_priority_need_idp/protection,s2878_loc_top_3_priority_need_idp/school_supplies,s2878_loc_top_3_priority_need_idp/reporting,s2878_loc_top_3_priority_need_idp/vocational,m2694_loc_top_3_priority_need_returnee/language,m2694_loc_top_3_priority_need_returnee/information,m2694_loc_top_3_priority_need_returnee/recognition_qualifications,m2694_loc_top_3_priority_need_returnee/medicines,m2694_loc_top_3_priority_need_returnee/dnk,m2694_loc_top_3_priority_need_returnee/child_spaces,m2694_loc_top_3_priority_need_returnee/protection,m2694_loc_top_3_priority_need_returnee/kindergarten,m2694_loc_top_3_priority_need_returnee/legal_consular,m2694_loc_top_3_priority_need_returnee/electricity,m2694_loc_top_3_priority_need_returnee/none,m2694_loc_top_3_priority_need_returnee/pnta,m2694_loc_top_3_priority_need_returnee/school_supplies,m2694_loc_top_3_priority_need_returnee/pss,m2694_loc_top_3_priority_need_returnee/reporting,m2694_loc_top_3_priority_need_returnee/return_support,m2694_loc_top_3_priority_need_returnee/wash,m2694_loc_top_3_priority_need_returnee/vocational
584,3,public,female,diff_adm2,diff_adm2,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,NULL,NULL,yes,NULL,26,20,24,50,100,food employment clothes,"Masanjala, Somba, Tepeka",no_assistance_found,2024-07-01 00:00:00,3,MW308,2023-11-01 00:00:00,15,62,93,95,273,428,food clothes employment,428,2024-02-01 00:00:00,"Somba, Somola, Masanjala",30502012072,599.3,-15.5203246 35.0268077 599.3 4.871,719,4.871,Somba,MW30502,2.3,2024-11-27 00:00:00.000000,-15.6532833,35.02098,-15.6532833 35.02098 719.0 2.3,2024-11-27 07:31:11.000000,MW305,35.0268077,-15.5203246,2024-11-28 17:07:20.000000,MWI,B2_01,MW3,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,3,public,female,diff_adm3,diff_adm2,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,NULL,NULL,yes,NULL,28,17,25,32,85,food drinking_water employment,"Jordan, Wear
Kutchili",no_assistance_found,2024-08-01 00:00:00,32,MW303,2024-02-01 00:00:00,144,25,20,15,30,75,food employment drinking_water,75,2023-12-01 00:00:00,"Jordan, Chatama, Nakhwala",30502014031,564.9,-15.4873983 35.0751933 564.9 4.9,571.9,4.9,Malenga,MW30502,2,2024-11-27 00:00:00.000000,-15.4963722,35.0482972,-15.4963722 35.0482972 571.9 2.0,2024-11-27 10:03:45.000000,MW305,35.0751933,-15.4873983,2024-11-28 16:41:56.000000,MWI,B2_01,MW3,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,3,public,female,diff_adm2,diff_adm2,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,"Seeking jobs. ",other,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,NULL,NULL,no,NULL,4,2,2,5,11,food health clothes,"Kapyepye, Kamweli
William 1
Tchenga",no_assistance_found,2024-07-01 00:00:00,6,MW304,2024-10-01 00:00:00,23,12,14,9,19,45,food drinking_water shelter,45,2024-11-01 00:00:00,"Pindani, Kapyepye, Zamanemba",NULL,490,-15.3931543 35.0116321 490.0 4.737,501.6,4.737,william,MW30502,9.72,2024-11-27 00:00:00.000000,-15.4189318,35.0265083,-15.4189318 35.0265083 501.6 9.72,2024-11-27 12:06:26.000000,MW305,35.0116321,-15.3931543,2024-11-28 16:28:05.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,3,public,female,diff_adm3,diff_adm3,livelihood,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,NULL,NULL,no,MW30505,5,3,4,6,15,food education health,"Mposa, Undi, Kutausi",no_assistance_found,2024-10-01 00:00:00,20,MW305,2023-09-01 00:00:00,100,10,15,8,15,40,food health drinking_water,40,2023-12-01 00:00:00,"Undi, Mbuka, Kumbewe",30502017051,633,-15.523845 35.0423533 633.0 4.1,633,4.1,Undi,MW30502,1.686,2024-11-27 00:00:00.000000,-15.5238466,35.0423516,-15.5238466 35.0423516 633.0 1.686,2024-11-27 14:25:24.000000,MW305,35.0423533,-15.523845,2024-11-28 16:14:44.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3,public,male,diff_adm0,diff_adm2,livelihood,yes,yes,dispersed,yes,yes,dispersed,dispersed,South Africa,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_other,MW3,MW3,other,both,NULL,4,12,9,35,48,food shelter employment,"Padzuwa, Mbuyao, Mphatika",rejoin_family,2024-06-01 00:00:00,295,MW305,2024-01-01 00:00:00,1000,20,19,39,126,165,food shelter business,165,2024-04-01 00:00:00,"Padzuwa, Mbuyao, Mphatika",31006004017,401,-15.8858415 34.8380783 401.0 4.9,405,4.9,Padzuwa,MW31006,2.75,2024-11-23 00:00:00.000000,-15.8802677,34.8436986,-15.8802677 34.8436986 405.0 2.75,2024-11-23 10:41:37.000000,MW310,34.8380783,-15.8858415,2024-11-23 18:22:38.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,3,public,male,diff_adm2,diff_adm3,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_floods,MW3,MW2,NULL,both,MW30901,4,4,4,11,19,food,"Mkhumba, Murike (A)",rejoin_family,2024-03-01 00:00:00,27,MW309,2023-11-01 00:00:00,99,3,3,4,11,17,food,17,2023-09-01 00:00:00,"Mkhumba, Murike (A), Kasiha",30901118186,707.7,-15.7576278 35.6132387 707.7 4.02,704.3,4.02,Mkhumba,MW30901,12.85,2024-11-22 00:00:00.000000,-15.7578166,35.613135,-15.7578166 35.613135 704.3 12.85,2024-11-22 06:59:42.000000,MW309,35.6132387,-15.7576278,2024-11-26 16:05:44.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,3,public,male,same_adm3,diff_adm2,livelihood,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_other,NULL,NULL,NULL,NULL,NULL,climate_other,MW3,MW3,NULL,yes,NULL,1,1,0,0,1,food shelter sanitation,Sitima,rejoin_family,2024-09-01 00:00:00,13,MW305,2024-11-01 00:00:00,13,4,4,4,7,15,food shelter employment,15,2024-05-01 00:00:00,Sitima,30403014064,854.89501953125,-15.6954734 35.2427786 854.89501953125 3.216,864.20654296875,3.216,Sitima,MW30403,4.824,2024-11-26 00:00:00.000000,-15.6968995,35.2416517,-15.6968995 35.2416517 864.20654296875 4.824,2024-11-22 13:06:54.000000,MW304,35.2427786,-15.6954734,2024-11-26 22:39:26.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,3,public,male,same_adm3,same_adm3,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_floods,NULL,NULL,NULL,NULL,NULL,climate_floods,MW3,MW3,NULL,yes,MW30407,40,75,108,52,200,food health shelter,"Imedi, Chalamanda, Halala",rejoin_family,2024-07-01 00:00:00,102,MW304,2023-11-01 00:00:00,300,20,22,25,18,60,food shelter health,60,2024-10-01 00:00:00,"Imedi, Chalamanda, Halala",30403072265,791.144409179687,-15.83661 35.2823532 791.1444091796875 3.43,772.738037109375,3.43,Chalamanda,MW30407,4.824,2024-11-23 00:00:00.000000,-15.8366193,35.2823591,-15.8366193 35.2823591 772.738037109375 4.824,2024-11-23 11:59:49.000000,MW304,35.2823532,-15.83661,2024-12-03 23:23:27.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,3,public,male,diff_adm0,diff_adm3,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW3,MOZ,both,MW30904,6,14,8,21,35,food,"Phodogoma, Mankhonja, Mkuthuwa",rejoin_family,2024-07-01 00:00:00,54,MW309,2023-11-01 00:00:00,205,9,17,26,59,85,food,85,2023-09-01 00:00:00,"Phodogoma, Zinganyama, Makhonja",30902803091,762.1,-15.76778 35.75732 762.1 4.1,801.3,4.1,Mankhonja,MW30902,2.775,2024-11-25 00:00:00.000000,-15.7657957,35.7510808,-15.7657957 35.7510808 801.3 2.775,2024-11-25 14:16:26.000000,MW309,35.75732,-15.76778,2024-11-25 14:50:25.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,3,public,male,same_adm3,diff_adm3,economic,yes,yes,dispersed,yes,yes,informal_settlement,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW1,NULL,yes,MW30901 MW30904,4,4,4,4,12,food shelter health,"Maluwa, Simoko, Chakuma",rejoin_family,2024-11-01 00:00:00,50,MW309,2024-08-01 00:00:00,200,8,8,15,21,37,food health shelter,37,2024-06-01 00:00:00,"Maluwa, Simoko, Chakuma",30901054085,681.4,-15.6751087 35.5098755 681.4 4.45,679.8,4.45,Maluwa,MW30905,2.016,2024-11-25 00:00:00.000000,-15.6751077,35.5098819,-15.6751077 35.5098819 679.8 2.016,2024-11-25 11:32:28.000000,MW309,35.5098755,-15.6751087,2024-11-25 16:05:20.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,3,public,male,diff_adm2,diff_adm2,livelihood,yes,yes,informal_settlement,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW3,NULL,both,NULL,14,33,19,33,66,food,"Muhowa, Maloya, Namalamba",rejoin_family,2024-08-01 00:00:00,44,MW303,2023-09-01 00:00:00,176,64,23,87,52,139,food,139,2023-10-01 00:00:00,"Muhowa, Maloya",30902031170,671.7,-15.6917383 35.8000033 671.7 3.9,674.3,3.9,Maoni,MW30902,2.32,2024-11-27 00:00:00.000000,-15.6917362,35.8000318,-15.6917362 35.8000318 674.3 2.32,2024-11-27 08:17:18.000000,MW309,35.8000033,-15.6917383,2024-11-27 08:53:42.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,3,public,male,diff_adm0,diff_adm0,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,NULL,NULL,MOZ,no,NULL,11,11,7,11,29,food,"Yuwa, Kaliati",rejoin_family,2024-08-01 00:00:00,31,NULL,2023-09-01 00:00:00,141,2,3,4,1,6,food,6,2024-07-01 00:00:00,"Kaliati, Yuwa",30902801138,707.7,-15.7323933 35.774835 707.7 2.3,698.4,2.3,Yuwa,MW30902,1.516,2024-11-27 00:00:00.000000,-15.7325668,35.7751194,-15.7325668 35.7751194 698.4 1.516,2024-11-27 10:45:15.000000,MW309,35.774835,-15.7323933,2024-11-27 11:52:45.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,3,public,male,diff_adm1,diff_adm3,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW1,NULL,both,MW30906,12,16,17,43,72,food,"Namasoko, Katamula, Namangale",rejoin_family,2024-04-01 00:00:00,82,MW309,2023-09-01 00:00:00,396,19,11,16,46,76,food,76,2023-10-01 00:00:00,"Namasoko, Namangale, Katamula (A)",30901060103,738,-15.6956375 35.6075474 738.0 4.6,732.4,4.6,Namasoko,MW30901,2.225,2024-11-28 00:00:00.000000,-15.6943013,35.6030032,-15.6943013 35.6030032 732.4 2.225,2024-11-28 12:11:09.000000,MW309,35.6075474,-15.6956375,2024-11-28 13:15:39.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,3,public,male,diff_adm1,diff_adm2,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW1,NULL,both,NULL,12,13,10,24,46,food,Muthumpwa,rejoin_family,2024-04-01 00:00:00,65,MW308,2023-10-01 00:00:00,248,5,3,5,5,13,food,13,2024-08-01 00:00:00,Muthumpwa,30901118183,717.9,-15.64688 35.61014 717.9 5.0,715.3,5,Muthumpwa,MW30901,2.066,2024-11-28 00:00:00.000000,-15.6469532,35.6103472,-15.6469532 35.6103472 715.3 2.066,2024-11-28 13:48:15.000000,MW309,35.61014,-15.64688,2024-11-28 14:43:27.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,3,public,male,diff_adm1,diff_adm2,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW1,NULL,both,NULL,9,9,7,23,39,food,"Thupwe, Murirya, Muruwesi",rejoin_family,2024-04-01 00:00:00,61,MW303,2023-09-01 00:00:00,253,2,5,2,5,12,food,12,2023-10-01 00:00:00,"Thupwe, Murirya",30901058311,708.7,-15.7034233 35.5620733 708.7 4.6,708.5,4.6,Thupwe,MW30901,1.44,2024-11-28 00:00:00.000000,-15.7035547,35.5621607,-15.7035547 35.5621607 708.5 1.44,2024-11-28 10:17:00.000000,MW309,35.5620733,-15.7034233,2024-11-28 17:41:22.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,3,public,male,diff_adm2,diff_adm2,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW3,NULL,yes,NULL,6,5,4,0,10,food employment cash,"Balakasi, Lumbe, Mwasibu",rejoin_family,2024-10-01 00:00:00,21,MW308,2024-04-01 00:00:00,46,4,4,3,4,12,employment shelter cash,12,2024-06-01 00:00:00,Balakasi,30406004012,948.072,-15.5841114 35.2187817 948.072 1.073,0,1.073,Balakasi,MW30406,3400,2024-11-26 00:00:00.000000,-15.5083491,35.220857,-15.5083491 35.220857 0.0 3400.0,2024-11-25 11:02:51.000000,MW304,35.2187817,-15.5841114,2024-11-28 17:58:46.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,3,public,male,diff_adm0,diff_adm2,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,NULL,MOZ,no,NULL,23,22,22,68,113,food,"'Khanaja, Khanaja [A]",rejoin_family,2024-03-01 00:00:00,157,MW308,2024-07-01 00:00:00,929,9,9,9,36,54,food,54,2024-06-01 00:00:00,"Khanaja [A], Daudi, Nantapo",30901143286,736.6,-15.7779571 35.5771556 736.6 4.7,733.8,4.7,Kalezera [A],MW30901,1.566,2024-11-29 00:00:00.000000,-15.7784802,35.5774186,-15.7784802 35.5774186 733.8 1.566,2024-11-29 10:20:35.000000,MW309,35.5771556,-15.7779571,2024-11-29 11:41:30.000000,MWI,B2_01,MW3,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,3,public,male,diff_adm0,diff_adm0,livelihood,yes,yes,dispersed,yes,yes,collective_centre,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,NULL,MW1,MOZ,both,NULL,34,36,21,79,134,food,"Chifi, Mwanyenga, Kazembe",rejoin_family,2024-08-01 00:00:00,101,NULL,2023-10-01 00:00:00,426,11,13,15,44,68,food,68,2024-07-01 00:00:00,"Chifi, Mwanyenga, Kazembe",NULL,734.8,-15.7614583 35.5510283 734.8 4.3,734.7,4.3,Mphera,MW30901,1.48,2024-11-29 00:00:00.000000,-15.7614582,35.5510268,-15.7614582 35.5510268 734.7 1.48,2024-11-29 12:04:45.000000,MW309,35.5510283,-15.7614583,2024-11-29 13:53:38.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,3,public,male,diff_adm1,diff_adm2,economic,yes,yes,dispersed,yes,yes,dispersed,dispersed,NULL,NULL,inperson_mobile,NULL,NULL,climate_drought,NULL,NULL,NULL,NULL,NULL,climate_drought,MW3,MW1,NULL,both,NULL,30,90,27,63,120,food cash employment,"Suga, Nyimbiri, katopola",rejoin_family,2024-08-01 00:00:00,30,MW308,2024-05-01 00:00:00,155,70,80,170,70,220,shelter employment food,220,2024-08-01 00:00:00,"Mpotola, Nyimbiri, katopola, Thom",NULL,986.568,-15.5819098 35.2059145 986.568 1.234,986.381,1.234,Nyimbiri,MW30406,1.994,2024-11-26 00:00:00.000000,-15.5818845,35.2058944,-15.5818845 35.2058944 986.381 1.994,2024-11-25 12:06:06.000000,MW304,35.2059145,-15.5819098,2024-12-03 08:33:05.000000,MWI,B2_01,MW3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
